class_index,class_name,support,precision,recall,f1
0,Tomato___Bacterial_spot,320,0.9785276073619632,0.996875,0.9876160990712073
1,Tomato___Early_blight,150,0.9219858156028369,0.8666666666666667,0.8934707903780069
2,Tomato___Late_blight,287,0.9787234042553191,0.9616724738675958,0.9701230228471002
3,Tomato___Leaf_Mold,144,0.9642857142857143,0.9375,0.9507042253521126
4,Tomato___Septoria_leaf_spot,267,0.9148936170212766,0.9662921348314607,0.9398907103825136
5,Tomato___Spider_mites Two-spotted_spider_mite,252,0.9734513274336283,0.873015873015873,0.9205020920502092
6,Tomato___Target_Spot,212,0.8156862745098039,0.9811320754716981,0.8907922912205568
7,Tomato___Tomato_Yellow_Leaf_Curl_Virus,482,0.9978947368421053,0.983402489626556,0.9905956112852664
8,Tomato___Tomato_mosaic_virus,57,0.9821428571428571,0.9649122807017544,0.9734513274336283
9,Tomato___healthy,240,0.9868421052631579,0.9375,0.9615384615384615
